BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
2347,7,18.93,1.061,1.009,6.86,86.01,9.23,11.36,60,1.102,35,N/A,Specific Gravity,extract,N/A,18.33,N/A,N/A
51818,10,3.79,1.058,1.013,5.97,39.91,7.04,5.68,60,1.039,75,1,Specific Gravity,All Grain,0.35,18.33,N/A,N/A
33486,5,20.82,1.095,1.022,9.6,99.23,10.9,28.39,120,1.07,70,1.5,Specific Gravity,All Grain,N/A,20,N/A,N/A
51876,10,45,1.054,1.012,5.6,50.36,5.84,60.3,60,1.041,71,2.5,Specific Gravity,All Grain,0.35,18,N/A,N/A
25415,175,50,1.046,1.006,5.26,18.51,3.55,60,60,1.039,70,3,Specific Gravity,All Grain,0.75,23,N/A,N/A
16349,15,41.64,1.056,1.013,5.53,0,7.5,50.88,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
67251,56,22.71,1.081,1.02,8.09,90.73,7.07,35.96,90,1.051,73,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A
67584,7,26,1.073,1.014,8.21,56.12,6.79,30,60,1.063,80,N/A,Specific Gravity,BIAB,N/A,18,N/A,N/A
50469,72,20.82,1.058,1.013,5.86,62.65,39.9,11.36,60,1.106,35,N/A,Specific Gravity,extract,1,16.67,Keg,N/A
44055,148,26.5,1.05,1.014,4.77,74.69,26.01,31,70,1.043,80,3.2,Specific Gravity,All Grain,N/A,21,N/A,N/A
68921,30,30,1.056,1.011,5.92,45.34,6.17,37,60,1.046,70,2.75,Specific Gravity,All Grain,0.75,18,N/A,N/A
21546,92,15,1.054,1.014,5.32,26.55,11.87,22,60,1.037,41,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
68678,45,20.82,1.064,1.018,6,41.58,3.93,28.39,60,1.047,70,1.5,Specific Gravity,All Grain,0.35,18.33,N/A,N/A
71108,12,20.82,1.062,1.011,6.74,72.41,34.61,28.39,60,1.046,71,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
70312,150,23,1.065,1.011,7.13,67.18,18.69,27.3,60,1.055,75,2.7,Specific Gravity,All Grain,0.75,18,N/A,N/A
25482,150,20.82,1.058,1.01,6.31,66.32,18.09,25.55,90,1.048,75,1.4,Specific Gravity,All Grain,0.75,18.89,N/A,N/A
33879,39,25,12.2874,3.67746,4.62,31.97,10.13,32,70,9.7,64,2.3,Plato,All Grain,1.5,18,Dextrose,180 g
58045,7,20.82,1.067,1.016,6.72,149.5,5.01,28.39,60,1.049,75,N/A,Specific Gravity,All Grain,0.5,N/A,N/A,N/A
